group,label,radius_mm

Imp Deep,5/32,6.200
Imp Deep,3/16,6.200
Imp Deep,7/32,6.200
Imp Deep,1/4,6.200
Imp Deep,9/32,6.200
Imp Deep,5/16,6.900
Imp Deep,11/32,6.900
Imp Deep,3/8,7.450
Imp Deep,7/16,8.300
Imp Deep,1/2,9.125
Met Deep,4,6.200
Met Deep,5,6.200
Met Deep,6,6.200
Met Deep,7,6.250
Met Deep,8,6.400
Met Deep,9,6.850
Met Deep,10,7.450
Met Deep,11,8.350
Met Deep,12,9.150
Met Deep,13,9.750
Met Deep,14,9.750
Imp Shallow,5/32,6.150
Imp Shallow,3/16,6.150
Imp Shallow,7/32,6.150
Imp Shallow,1/4,6.150
Imp Shallow,9/32,6.150
Imp Shallow,5/16,6.150
Imp Shallow,11/32,6.750
Imp Shallow,3/8,7.450
Imp Shallow,7/16,9.050
Imp Shallow,1/2,9.050
Met Shallow,4,6.150
Met Shallow,5,6.150
Met Shallow,6,6.150
Met Shallow,7,6.150
Met Shallow,8,6.750
Met Shallow,9,6.750
Met Shallow,10,7.400
Met Shallow,11,8.250
Met Shallow,12,9.100
Met Shallow,13,9.100
Met Shallow,14,9.100
